Station,Section,Url,Page Range,Text Identifier,Status
32C,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,295,Stations 32C to 32G,exists
32D,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,295,Stations 32C to 32G,exists
32E,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,295,Stations 32C to 32G,exists
32F,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,295,Stations 32C to 32G,exists
32G,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,295,Stations 32C to 32G,exists
33,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,295-304,Station 33,exists
33A,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,304,Stations 33A to 34,exists
33B,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,304,Stations 33A to 34,exists
34,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,304,Stations 33A to 34,exists
35A,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,304-305,Stations 35A to 35C,exists
35B,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,304-305,Stations 35A to 35C,exists
35C,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,304-305,Stations 35A to 35C,exists
36,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,306-308,Station 36,exists
37,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,308-309,Station 37,exists
38,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,309-310,Station 38,exists
39,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,310,Station 39,exists
40,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,310-311,Station 40,exists
41,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,311-312,Station 41,exists
42,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,312-313,Station 42,exists
43,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,313-314,Station 43,exists
44,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,314-317,Station 44,exists
45,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,317-321,Station 45,exists
46,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,321-323,Station 46,exists
47,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,323-325,Station 47,exists
48,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,325-330,Station 48,exists
49,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,330-335,Station 49,exists
50,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,335-337,Station 50,exists
51,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,337-338,Station 51,exists
52,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,338-339,Station 52,exists
52A,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,339,Station 52A,exists
53,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,339-340,Station 53,exists
54,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,340-341,Station 54,exists
55,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,342,Stations 55 and 55A,exists
55A,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,342,Stations 55 and 55A,exists
55B,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,343-345,Stations 55B and 56,exists
56,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,343-345,Stations 55B and 56,exists
56A,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,345,Station 56A,missing
57,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,345-355,Stations 57 to 57B,exists
57A,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,345-355,Stations 57 to 57B,exists
57B,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,345-355,Stations 57 to 57B,exists
58,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,355,Station 58,exists
59,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,355-358,Station 59,exists
60,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,358-359,Station 60,exists
61,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,359-360,Station 61,exists
62,sec.6 v.1,https://hdl.handle.net/2027/uc1.c2755812,360-361,Station 62,exists
